0,0;691,2
15,0;666,0
30,0;657,6
45,0;682,8
60,0;674,4
75,0;657,6
90,0;657,6
105,0;691,2
120,0;666,0
135,0;649,2
150,0;674,4
165,0;674,4
180,0;657,6
195,0;666,0
210,0;666,0
225,0;666,0
240,0;666,0
255,0;657,6
270,0;649,2
285,0;666,0
300,0;657,6
315,0;649,2
330,0;657,6
345,0;657,6
360,0;640,8
375,0;624,0
390,0;598,8
405,0;556,8
420,0;565,2
435,0;531,6
450,0;523,2
465,0;514,8
480,0;514,8
495,0;498,0
510,0;498,0
525,0;489,6
540,0;523,2
555,0;531,6
570,0;514,8
585,0;506,4
600,0;514,8
615,0;540,0
630,0;506,4
645,0;506,4
660,0;481,2
675,0;464,4
690,0;498,0
705,0;464,4
720,0;481,2
735,0;523,2
750,0;548,4
765,0;531,6
780,0;565,2
795,0;556,8
810,0;556,8
825,0;573,6
840,0;624,0
855,0;582,0
870,0;590,4
885,0;632,4
900,0;624,0
915,0;598,8
930,0;624,0
945,0;624,0
960,0;657,6
975,0;640,8
990,0;649,2
1005,0;0,0
1020,0;0,0
1035,0;0,0
1050,0;0,0
1065,0;-285,6
1080,0;-302,4
1095,0;-302,4
1110,0;-319,2
1125,0;-327,6
1140,0;-277,2
1155,0;-294,0
1170,0;-302,4
1185,0;-302,4
1200,0;-302,4
1215,0;-277,2
1230,0;-277,2
1245,0;0,0
1260,0;0,0
1275,0;0,0
1290,0;0,0
1305,0;691,2
1320,0;699,6
1335,0;682,8
1350,0;657,6
1365,0;682,8
1380,0;716,4
1395,0;666,0
1410,0;657,6
1425,0;716,4
1440,0;691,2
1455,0;674,4
1470,0;674,4
1485,0;708,0
1500,0;674,4
1515,0;682,8
1530,0;699,6
1545,0;699,6
1560,0;666,0
1575,0;674,4
1590,0;708,0
1605,0;674,4
1620,0;657,6
1635,0;699,6
1650,0;682,8
1665,0;666,0
1680,0;666,0
1695,0;666,0
1710,0;666,0
1725,0;666,0
1740,0;674,4
1755,0;674,4
1770,0;666,0
1785,0;691,2
1800,0;649,2
1815,0;649,2
1830,0;624,0
1845,0;624,0
1860,0;624,0
1875,0;598,8
1890,0;573,6
1905,0;540,0
1920,0;531,6
1935,0;506,4
1950,0;540,0
1965,0;514,8
1980,0;523,2
1995,0;540,0
2010,0;540,0
2025,0;548,4
2040,0;565,2
2055,0;565,2
2070,0;573,6
2085,0;565,2
2100,0;598,8
2115,0;548,4
2130,0;506,4
2145,0;540,0
2160,0;582,0
2175,0;556,8
2190,0;556,8
2205,0;582,0
2220,0;632,4
2235,0;607,2
2250,0;607,2
2265,0;640,8
2280,0;649,2
2295,0;632,4
2310,0;624,0
2325,0;674,4
2340,0;649,2
2355,0;624,0
2370,0;624,0
2385,0;624,0
2400,0;624,0
2415,0;615,6
2430,0;615,6
2445,0;0,0
2460,0;0,0
2475,0;0,0
2490,0;0,0
2505,0;-294,0
2520,0;-319,2
2535,0;-310,8
2550,0;-319,2
2565,0;-319,2
2580,0;-285,6
2595,0;-310,8
2610,0;-302,4
2625,0;-302,4
2640,0;-277,2
2655,0;-285,6
2670,0;-302,4
2685,0;0,0
2700,0;0,0
2715,0;0,0
2730,0;0,0
2745,0;666,0
2760,0;682,8
2775,0;716,4
2790,0;682,8
2805,0;666,0
2820,0;708,0
2835,0;691,2
2850,0;674,4
2865,0;682,8
2880,0;708,0
2895,0;682,8
2910,0;674,4
2925,0;682,8
2940,0;716,4
2955,0;682,8
2970,0;682,8
2985,0;674,4
3000,0;708,0
3015,0;682,8
3030,0;666,0
3045,0;699,6
3060,0;682,8
3075,0;682,8
3090,0;674,4
3105,0;682,8
3120,0;666,0
3135,0;674,4
3150,0;674,4
3165,0;674,4
3180,0;691,2
3195,0;657,6
3210,0;674,4
3225,0;682,8
3240,0;657,6
3255,0;640,8
3270,0;640,8
3285,0;640,8
3300,0;649,2
3315,0;649,2
3330,0;649,2
3345,0;640,8
3360,0;657,6
3375,0;649,2
3390,0;640,8
3405,0;657,6
3420,0;682,8
3435,0;674,4
3450,0;674,4
3465,0;649,2
3480,0;657,6
3495,0;682,8
3510,0;682,8
3525,0;657,6
3540,0;640,8
3555,0;657,6
3570,0;632,4
3585,0;632,4
3600,0;649,2
3615,0;808,8
3630,0;960,0
3645,0;817,2
3660,0;657,6
3675,0;657,6
3690,0;708,0
3705,0;691,2
3720,0;666,0
3735,0;657,6
3750,0;691,2
3765,0;682,8
3780,0;640,8
3795,0;649,2
3810,0;674,4
3825,0;649,2
3840,0;649,2
3855,0;649,2
3870,0;682,8
3885,0;0,0
3900,0;0,0
3915,0;0,0
3930,0;0,0
3945,0;-310,8
3960,0;-302,4
3975,0;-319,2
3990,0;-327,6
4005,0;-294,0
4020,0;-310,8
4035,0;-302,4
4050,0;-302,4
4065,0;-302,4
4080,0;-310,8
4095,0;-302,4
4110,0;-310,8
4125,0;0,0
4140,0;0,0
4155,0;0,0
4170,0;0,0
4185,0;649,2
4200,0;682,8
4215,0;682,8
4230,0;666,0
4245,0;666,0
4260,0;691,2
4275,0;682,8
4290,0;657,6
4305,0;691,2
4320,0;724,8
4335,0;674,4
4350,0;666,0
4365,0;699,6
4380,0;682,8
4395,0;666,0
4410,0;691,2
4425,0;699,6
4440,0;682,8
4455,0;657,6
4470,0;691,2
4485,0;691,2
4500,0;666,0
4515,0;691,2
4530,0;682,8
4545,0;674,4
4560,0;666,0
4575,0;649,2
4590,0;666,0
4605,0;657,6
4620,0;666,0
4635,0;666,0
4650,0;666,0
4665,0;674,4
4680,0;682,8
4695,0;649,2
4710,0;640,8
4725,0;649,2
4740,0;649,2
4755,0;649,2
4770,0;640,8
4785,0;640,8
4800,0;632,4
4815,0;624,0
4830,0;632,4
4845,0;632,4
4860,0;649,2
4875,0;640,8
4890,0;649,2
4905,0;632,4
4920,0;640,8
4935,0;674,4
4950,0;666,0
4965,0;657,6
4980,0;657,6
4995,0;666,0
5010,0;640,8
5025,0;657,6
5040,0;674,4
5055,0;682,8
5070,0;649,2
5085,0;649,2
5100,0;640,8
5115,0;657,6
5130,0;649,2
5145,0;649,2
5160,0;682,8
5175,0;691,2
5190,0;666,0
5205,0;649,2
5220,0;666,0
5235,0;666,0
5250,0;649,2
5265,0;649,2
5280,0;632,4
5295,0;632,4
5310,0;657,6
5325,0;0,0
5340,0;0,0
5355,0;0,0
5370,0;0,0
5385,0;-327,6
5400,0;-327,6
5415,0;-319,2
5430,0;-336,0
5445,0;-319,2
5460,0;-319,2
5475,0;-319,2
5490,0;-344,4
5505,0;-336,0
5520,0;-344,4
5535,0;-352,8
5550,0;-336,0
5565,0;0,0
5580,0;0,0
5595,0;0,0
5610,0;0,0
5625,0;632,4
5640,0;657,6
