"Time","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
0,852.79999999999995,200000,1,128.98686218261719,0.5
60,859.65565628929699,200000,1,127.95821380615234,0.50570536368465213
120,859.77899093864971,200000,1,127.93985748291016,0.51250630079729698
180,859.954603067942,200000,1,127.91372680664063,0.51929732610887458
240,860.12977665759036,200000,1,127.88768005371094,0.52608703321712069
300,860.30491864632438,200000,1,127.86164093017578,0.53287535705890399
360,860.48002509493608,200000,1,127.83562469482422,0.53966229871411109
420,860.65509682495929,200000,1,127.80961608886719,0.5464478592626274
480,860.83013305697534,200000,1,127.78363037109375,0.55323203924439646
540,861.00513461251876,200000,1,127.75765991210938,0.56001483973930366
600,861.1801011176733,200000,1,127.73170471191406,0.56679626162475705
660,861.35503259349696,200000,1,127.70576477050781,0.57357630571067098
720,861.52992906104737,200000,1,127.67983245849609,0.58035497280695958
780,861.70479013587976,200000,1,127.65392303466797,0.58713226338607305
840,861.87961663952797,200000,1,127.62803649902344,0.59390817852789723
900,862.05440860357919,200000,1,127.60215759277344,0.60068271944730423
960,862.22916524861432,200000,1,127.5762939453125,0.60745588668423722
1020,862.40388699066523,200000,1,127.55044555664063,0.61422768098111757
1080,862.57857385078967,200000,1,127.52461242675781,0.62099810314785941
1140,862.75322585004528,200000,1,127.49880218505859,0.62776715399437744
1200,862.92784341499237,200000,1,127.47299957275391,0.63453483466805094
1260,863.1024257662126,200000,1,127.44721221923828,0.64130114570882257
1320,863.27697331973729,200000,1,127.42144775390625,0.64806608785911413
1380,863.45148650212707,200000,1,127.39569091796875,0.65482966226630435
1440,863.62596453396304,200000,1,127.36995697021484,0.66159186947033632
1500,863.80040823677962,200000,1,127.34423065185547,0.66835271055109591
1560,863.97481683115814,200000,1,127.31852722167969,0.67511218604852619
1620,864.14919113863266,200000,1,127.29283142089844,0.68187029704251301
1680,864.32353037978464,200000,1,127.26715850830078,0.68862704407299946
1740,864.49783537614826,200000,1,127.24150085449219,0.6953824282198714
1800,864.78320117255544,-200000,-1,-164.25556945800781,0.7021364503605364
1860,849.35462482608432,-200000,-1,-167.23927307128906,0.69599670915003109
1920,848.96936121284716,-200000,-1,-167.31517028808594,0.68714628509824016
1980,848.73452997479512,-200000,-1,-167.36146545410156,0.67826610883752092
2040,848.50116734540745,-200000,-1,-167.40750122070313,0.66938321342387441
2100,848.26775461381283,-200000,-1,-167.45355224609375,0.66049787220344269
2160,848.03427753990047,-200000,-1,-167.49966430664063,0.65161008679605459
2220,847.80073366959687,-200000,-1,-167.54580688476563,0.6427198543670094
2280,847.56712454068133,-200000,-1,-167.59197998046875,0.63382717302650615
2340,847.33345011103813,-200000,-1,-167.63819885253906,0.62493204115471634
2400,847.09970952754691,-200000,-1,-167.68446350097656,0.61603445645688215
2460,846.86590272703393,-200000,-1,-167.73075866699219,0.60713441650326039
2520,846.63203045733133,-200000,-1,-167.77708435058594,0.59823191953903587
2580,846.39809267632336,-200000,-1,-167.82345581054688,0.58932696394437956
2640,846.16408853088944,-200000,-1,-167.869873046875,0.58041954742453405
2700,845.93001795785619,-200000,-1,-167.91632080078125,0.57150966754975574
2760,845.69588170505529,-200000,-1,-167.96281433105469,0.56259732256522987
2820,845.46167891936625,-200000,-1,-168.00933837890625,0.55368251017619907
2880,845.22741034862088,-200000,-1,-168.055908203125,0.54476522862784815
2940,844.99307513969848,-200000,-1,-168.10250854492188,0.53584547562541962
