"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
31800,2,1039.6277426839335,160320,0,0,0.80058581555881658
32100,7,1039.6277426839335,160320,0,0,0.80058581555881658
32400,12,1039.6277426839335,162000,0,0,0.80058581555881658
32700,17,1039.6277426839335,162000,0,0,0.80058581555881658
33000,22,1039.6277426839335,162000,0,0,0.80058581555881658
33300,3,1039.6277426839335,162000,0,0,0.80058581555881658
33600,8,1039.6277426839335,162000,0,0,0.80058581555881658
33900,13,1039.6277426839335,162000,0,0,0.80058581555881658
34200,18,1039.6277426839335,162000,0,0,0.80058581555881658
34500,23,1039.6277426839335,162000,0,0,0.80058581555881658
34800,4,1039.6277426839335,162000,0,0,0.80058581555881658
35100,9,1039.6277426839335,162000,0,0,0.80058581555881658
35400,14,1039.6277426839335,162000,0,0,0.80058581555881658
35700,19,1039.6277426839335,162000,0,0,0.80058581555881658
36000,0,1039.6277426839335,162000,0,0,0.80058581555881658
36300,5,1039.6277426839335,162000,0,0,0.80058581555881658
36600,10,1039.6277426839335,162000,0,0,0.80058581555881658
36900,15,1039.6277426839335,161160,0,0,0.80058581555881658
37200,20,1039.6277426839335,161160,0,0,0.80058581555881658
37500,1,1039.6277426839335,161160,0,0,0.80058581555881658
37800,6,1039.6277426839335,162000,0,0,0.80058581555881658
38100,11,1039.6277426839335,162000,0,0,0.80058581555881658
38400,16,1039.6277426839335,162000,0,0,0.80058581555881658
38700,21,1039.6277426839335,162000,0,0,0.80058581555881658
39000,2,1039.6277426839335,162000,0,0,0.80058581555881658
39300,7,1039.6277426839335,162000,0,0,0.80058581555881658
39600,12,1039.6277426839335,162000,0,0,0.80058581555881658
39900,17,1039.6277426839335,162000,0,0,0.80058581555881658
40200,22,1039.6277426839335,162000,0,0,0.80058581555881658
40500,3,1039.6277426839335,162000,0,0,0.80058581555881658
40800,8,1039.6277426839335,162000,0,0,0.80058581555881658
41100,13,1039.6277426839335,162000,0,0,0.80058581555881658
