"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
25800,22,991.2550576587463,3171.8907124282505,1,2.5598986148834229,0.50381594182636569
26100,3,991.38354191990823,3753.8001327456832,1,3.0291404724121094,0.50459609962860552
26400,8,991.53949552985296,4547.1106772681296,1,3.6687281131744385,0.50551761518815252
26700,13,991.73011378876151,14973.428932992465,1,12.078632354736328,0.5066329604366766
27000,18,992.5112238070825,14900.371746505865,1,12.010239601135254,0.510239680306944
27300,23,993.0824623338184,19208.126086353594,1,15.473540306091309,0.51391243410199705
27600,4,993.90481072331318,17576.705136826931,1,14.14759635925293,0.51860751200338995
27900,9,994.54730323336366,21739.567198136785,1,17.487005233764648,0.52294649682428607
28200,14,995.46259658625104,23021.741142765517,1,18.501340866088867,0.52825818224457433
28500,19,996.36966516671748,24241.518812120888,1,19.463876724243164,0.53390373810655622
28800,0,997.32133272600595,24564.801764710523,1,19.704624176025391,0.53984397932507633
29100,5,998.26690541800508,25165.432283075384,1,20.16729736328125,0.54586521911370556
29400,10,999.23992802244743,27400.500180284558,1,21.937074661254883,0.55202556481768461
29700,15,1000.3291262117879,28709.325053742501,1,22.959901809692383,0.55871323225224201
30000,20,1001.448914296288,31883.291899729622,1,25.469728469848633,0.56572111582844309
30300,1,1002.7244863414537,34176.427874088971,1,27.266857147216797,0.57348048541470165
30600,6,1004.0683842839627,35359.437618471777,1,28.172931671142578,0.58179622906257278
30900,11,1005.4337820569111,36353.163385863911,1,28.925357818603516,0.59039798263468879
31200,16,1006.8312862972965,37930.891419752777,1,30.138826370239258,0.59923118801895736
31500,21,1008.2978212135554,39518.788200077302,1,31.354854583740234,0.60843031196609532
31800,2,1009.8223695566503,39956.197431933557,1,31.654041290283203,0.61800085495822954
32100,7,1011.3388916882049,40674.503911050102,1,32.174777984619141,0.62767228018229471
32400,12,1012.8855951838002,40651.233419090902,1,32.107265472412109,0.63750048529458891
32700,17,1014.4147915802564,41958.640367088665,1,33.089931488037109,0.64731416521352925
33000,22,1016.016320945962,43091.571782977619,1,33.929828643798828,0.65741713103412291
33300,3,1017.6544194235188,42188.447701389276,1,33.165248870849609,0.66777810432626994
33600,8,1019.2171011926165,41033.184975028271,1,32.207611083984375,0.67792217897848561
33900,13,1020.7294282190878,41179.739341987603,1,32.274757385253906,0.68777576776809046
34200,18,1022.2698574105103,44119.905999641604,1,34.527015686035156,0.69763927095415157
34500,23,1024.1828413579167,50437.122250055923,1,39.396968841552734,0.70816747302652128
34800,4,1026.490638127683,49533.871215921114,1,38.604442596435547,0.72015485846012905
35100,9,1028.6185976237105,50554.018583376353,1,39.317989349365234,0.73195901668401786
35400,14,1030.822230922706,51718.504645033019,1,40.137672424316406,0.74396547441172001
35700,19,1033.0739904354559,52362.953998894292,1,40.549236297607422,0.75622107857320853
36000,0,1035.3388297992315,54113.558947315672,1,41.813217163085938,0.76860658412744143
36300,5,1037.6943419462989,52531.258458458622,1,40.498447418212891,0.78136912446851148
36600,10,1039.9149547158058,54999.524350387939,1,42.310787200927734,0.79375708290813096
36900,15,1040.5015590656153,53767.935434171442,0,0,0.80192907332929009
37200,20,1040.5015590656153,52178.273128179193,0,0,0.80192907332929009
37500,1,1040.5015590656153,51275.155286745976,0,0,0.80192907332929009
37800,6,1040.5015590656153,46081.988554398275,0,0,0.80192907332929009
38100,11,1040.5015590656153,47154.012728293586,0,0,0.80192907332929009
38400,16,1040.5015590656153,54440.827252787756,0,0,0.80192907332929009
38700,21,1040.5015590656153,60688.974066730843,0,0,0.80192907332929009
39000,2,1040.5015590656153,54802.565506010855,0,0,0.80192907332929009
39300,7,1040.5015590656153,57682.760772298818,0,0,0.80192907332929009
39600,12,1040.5015590656153,61418.601930342513,0,0,0.80192907332929009
39900,17,1040.5015590656153,62594.15240868424,0,0,0.80192907332929009
40200,22,1040.5015590656153,66631.244514349717,0,0,0.80192907332929009
40500,3,1040.5015590656153,66873.002388860405,0,0,0.80192907332929009
40800,8,1040.5015590656153,67438.199599616375,0,0,0.80192907332929009
41100,13,1040.5015590656153,68840.437540807485,0,0,0.80192907332929009
41400,18,1040.5015590656153,70168.839437302595,0,0,0.80192907332929009
41700,23,1040.5015590656153,71456.330810067142,0,0,0.80192907332929009
42000,4,1040.5015590656153,63699.385010044243,0,0,0.80192907332929009
42300,9,1040.5015590656153,30593.185327619802,0,0,0.80192907332929009
42600,14,1040.5015590656153,71586.546595201929,0,0,0.80192907332929009
42900,19,1040.5015590656153,16494.220247914356,0,0,0.80192907332929009
43200,0,1040.5015590656153,62329.847823857155,0,0,0.80192907332929009
43500,5,1040.5015590656153,23649.699683212766,0,0,0.80192907332929009
43800,10,1040.5015590656153,31705.00324386367,0,0,0.80192907332929009
44100,15,1040.5015590656153,33609.920037189688,0,0,0.80192907332929009
44400,20,1040.5015590656153,26775.715102810773,0,0,0.80192907332929009
44700,1,1040.5015590656153,25426.936401294661,0,0,0.80192907332929009
45000,6,1040.5015590656153,26476.163291449695,0,0,0.80192907332929009
45300,11,1040.5015590656153,31069.132081742322,0,0,0.80192907332929009
45600,16,1040.5015590656153,34933.077368720486,0,0,0.80192907332929009
45900,21,1040.5015590656153,52826.985774807632,0,0,0.80192907332929009
46200,2,1040.5015590656153,72520.344814685799,0,0,0.80192907332929009
46500,7,1040.5015590656153,20282.37565585964,0,0,0.80192907332929009
46800,12,1040.5015590656153,22428.004720507161,0,0,0.80192907332929009
47100,17,1040.5015590656153,26248.305895994676,0,0,0.80192907332929009
47400,22,1040.5015590656153,13522.109620377003,0,0,0.80192907332929009
47700,3,1040.5015590656153,10413.170201340507,0,0,0.80192907332929009
48000,8,1040.5015590656153,10071.978480401553,0,0,0.80192907332929009
