Tempo,SOC,Corrente_A,Tensao_Term_V,Potencia_CA_kW
0.0,0.0,468.0,30.205000000000002,14.13594
60.0,0.016666666666666666,468.0,30.205000000000002,14.13594
120.0,0.03333333333333333,468.0,30.205000000000002,14.13594
180.0,0.05,468.0,30.205000000000002,14.13594
240.0,0.06666666666666667,468.0,30.205000000000002,14.13594
300.0,0.08333333333333333,468.0,30.205000000000002,14.13594
360.0,0.09999999999999999,468.0,30.205000000000002,14.13594
420.0,0.11666666666666665,468.0,30.205000000000002,14.13594
480.0,0.13333333333333333,468.0,30.205000000000002,14.13594
540.0,0.15,468.0,30.205000000000002,14.13594
600.0,0.16666666666666666,468.0,30.205000000000002,14.13594
660.0,0.18333333333333332,468.0,30.205000000000002,14.13594
720.0,0.19999999999999998,468.0,30.205000000000002,14.13594
780.0,0.21666666666666665,468.0,30.205000000000002,14.13594
840.0,0.2333333333333333,468.0,30.205000000000002,14.13594
900.0,0.24999999999999997,468.0,30.205000000000002,14.13594
960.0,0.26666666666666666,468.0,30.205000000000002,14.13594
1020.0,0.2833333333333333,468.0,30.205000000000002,14.13594
1080.0,0.3,468.0,30.205000000000002,14.13594
1140.0,0.31666666666666665,468.0,30.205000000000002,14.13594
1200.0,0.3333333333333333,468.0,30.205000000000002,14.13594
1260.0,0.35,468.0,30.205000000000002,14.13594
1320.0,0.36666666666666664,468.0,30.205000000000002,14.13594
1380.0,0.3833333333333333,468.0,30.205000000000002,14.13594
1440.0,0.39999999999999997,468.0,30.205000000000002,14.13594
1500.0,0.41666666666666663,468.0,30.205000000000002,14.13594
1560.0,0.4333333333333333,468.0,30.205000000000002,14.13594
1620.0,0.44999999999999996,468.0,30.205000000000002,14.13594
1680.0,0.4666666666666666,468.0,30.205000000000002,14.13594
1740.0,0.4833333333333333,468.0,30.205000000000002,14.13594
1800.0,0.49999999999999994,468.0,30.205000000000002,14.13594
1860.0,0.5166666666666666,468.0,30.205000000000002,14.13594
1920.0,0.5333333333333333,468.0,30.205000000000002,14.13594
1980.0,0.55,468.0,30.205000000000002,14.13594
2040.0,0.5666666666666668,468.0,30.205000000000002,14.13594
2100.0,0.5833333333333335,468.0,30.205000000000002,14.13594
2160.0,0.6000000000000002,468.0,30.205000000000002,14.13594
2220.0,0.6166666666666669,468.0,30.205000000000002,14.13594
2280.0,0.6333333333333336,468.0,30.205000000000002,14.13594
